logz logzerr logvol nlive logl logwt insert_order
-1.000000000000000053e+300 inf -1.402503428732675694e-01 4.450000000000000000e+02 -6.394280079228152754e+05 -6.394342462474403437e+05 nan
-6.394342462474403437e+05 inf -1.425000626072830401e-01 4.440000000000000000e+02 -5.507131919903657399e+05 -5.507194303149908083e+05 nan
-5.507194303149908083e+05 inf -1.447548549943721563e-01 4.430000000000000000e+02 -5.427288737530278740e+05 -5.427351120776529424e+05 nan
-5.427351120776529424e+05 2.975576279380126834e+03 -1.470147429618096635e-01 4.420000000000000000e+02 -5.350665431210064562e+05 -5.350727814456315245e+05 nan
-5.350727814456315245e+05 4.616856666075329485e+03 -1.492797495926617979e-01 4.410000000000000000e+02 -5.294968197368760593e+05 -5.295030580615011277e+05 nan
-5.295030580615011277e+05 3.657148015124407266e+03 -1.515498981272009327e-01 4.400000000000000000e+02 -5.133952350086349179e+05 -5.134014733332599862e+05 nan
-5.134014733332599862e+05 8.886758302945507239e+03 -1.538252119643364335e-01 4.390000000000000000e+02 -4.886317194289463805e+05 -4.886379577535714488e+05 nan
-4.886379577535714488e+05 1.844622219511442381e+04 -1.561057146630616399e-01 4.380000000000000000e+02 -4.811163097668793052e+05 -4.811225480915043736e+05 nan
-4.811225480915043736e+05 1.688084374170497176e+04 -1.583914299439176110e-01 4.370000000000000000e+02 -4.796349368839369272e+05 -4.796411752085619955e+05 nan
-4.796411752085619955e+05 3.150292981995756236e+03 -1.606823816904734414e-01 4.360000000000000000e+02 -4.396717933358944138e+05 -4.396780316605194821e+05 nan
-4.396780316605194821e+05 1.919273598914049580e+04 -1.629785939508236747e-01 4.350000000000000000e+02 -4.305005481343285064e+05 -4.305067864589535748e+05 nan
-4.305067864589535748e+05 1.386123734189052630e+04 -1.652800909391028972e-01 4.340000000000000000e+02 -4.275046367412485997e+05 -4.275108750658736681e+05 nan
-4.275108750658736681e+05 4.382497572185193349e+03 -1.675868970370179012e-01 4.330000000000000000e+02 -4.214282286727579194e+05 -4.214344669973829878e+05 nan
-4.214344669973829878e+05 5.739719568902695755e+03 -1.698990367953974456e-01 4.320000000000000000e+02 -4.128778432173142210e+05 -4.128840815419392893e+05 nan
-4.128840815419392893e+05 6.701942140780826776e+03 -1.722165349357599740e-01 4.310000000000000000e+02 -4.102118838609259110e+05 -4.102181221855509793e+05 nan
-4.102181221855509793e+05 5.478901707433755291e+03 -1.745394163518996511e-01 4.300000000000000000e+02 -4.096530030225806986e+05 -4.096592413472057669e+05 nan
