weight logl star1_rad star2_rad bin_period bin_inc bin_t0 bin_rv_com ext_f153m ext_alpha
0.000000000000000000e+00 -1.000000000000000053e+300 5.805764106814956804e-01 1.238857540834631399e-01 7.192234243176620634e-01 9.705584255953603190e-02 5.416408492908911798e-01 2.857678516269233082e-01 1.998681690622753360e-01 5.326034150520966293e-01
0.000000000000000000e+00 -1.000000000000000053e+300 8.921389286751679748e-01 6.423959160606895757e-02 6.553164772718269582e-01 3.890426240624832444e-01 2.861942229395647574e-01 5.391192232877217716e-01 2.296272258908815811e-02 7.259936676466860472e-01
0.000000000000000000e+00 -1.000000000000000053e+300 5.483677436302037966e-01 8.186169934920458635e-01 2.939839698380792843e-01 5.791020682392601371e-01 8.076267600410586001e-01 6.938193610126863753e-01 7.636043952079843988e-01 3.048530304140673053e-02
0.000000000000000000e+00 -1.000000000000000053e+300 9.491958568713858568e-01 7.218573932330045739e-01 2.855800139570562335e-01 2.872769581225395052e-01 6.010887684234766937e-01 9.256631477537068386e-01 6.037340506830592979e-01 2.124806050453615924e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.332985857279735287e-01 3.836295969329056588e-01 4.419770982643892454e-01 8.935374797546468129e-01 4.616263084822164187e-01 9.148876086027536436e-01 7.809036674108482678e-02 5.609012150172723032e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.233284539190474982e-01 6.486375994209274687e-01 9.110482719148748076e-01 5.305262228488420995e-01 5.924055431965224994e-02 4.316065930870178757e-01 2.787722661239810940e-01 7.633782751031457092e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.716356780081450983e-01 9.900412642680715969e-01 3.704765192189407585e-01 7.820995095232752270e-01 4.049365807278226814e-01 9.924405515226550900e-01 4.922710296324406265e-03 3.425948689820390580e-02
0.000000000000000000e+00 -1.000000000000000053e+300 5.455905207968958504e-01 6.077355066142976492e-01 3.577571272104644873e-01 8.009203060825820231e-02 3.266345913875717821e-01 9.371277417342761540e-01 9.901103247354215986e-01 7.608947598034720983e-02
0.000000000000000000e+00 -1.000000000000000053e+300 8.640303425361968159e-01 2.127066439830377353e-01 8.537824082636658041e-02 3.245016164848190110e-01 4.570719667096172500e-01 1.415503825288813022e-01 6.431653433831089339e-01 8.714084093343914539e-01
0.000000000000000000e+00 -1.000000000000000053e+300 8.938405349617214446e-01 5.826770022947782568e-01 1.630306998414419173e-01 4.988943058096073635e-01 5.426432460803994884e-01 6.085369862466379898e-01 7.836014181076407237e-01 5.508897226165299088e-02
0.000000000000000000e+00 -1.000000000000000053e+300 9.672125442795093120e-01 4.491874822258624667e-01 2.540648118743102923e-01 3.376184115884082182e-01 8.233418933943690288e-01 2.297387729838045178e-01 8.492668162242220653e-01 1.662588159182676328e-02
0.000000000000000000e+00 -1.000000000000000053e+300 9.029299936226552470e-01 4.547018722725830742e-01 1.901286334230810615e-01 8.021077298902532515e-01 2.866522502301395159e-01 1.264256545626873951e-02 4.867824315298402427e-01 4.386077014879324887e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.288187064740323073e-01 6.469040477344094597e-01 8.538757983340574675e-01 1.752099036004306498e-01 6.060324032706025932e-01 3.288448709999227670e-01 9.532641111952516733e-01 7.495757149252432194e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.694113000132367208e-01 9.591282107435787907e-01 5.403524267645145596e-01 7.412810380838370516e-01 6.232754934587991791e-01 5.226158801094280548e-01 5.728039779092075623e-02 6.964580478276896081e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.946426755345764148e-01 5.257636517621833150e-02 4.447145403407909425e-01 2.823191215631291051e-01 9.670104603395088816e-01 6.919248853973969382e-02 7.923222132865883616e-01 5.076911766515561641e-01
0.000000000000000000e+00 -1.000000000000000053e+300 8.487790512217686656e-01 9.161694702773290899e-01 5.576749548383530541e-02 9.593553769389457919e-01 2.405502389983691369e-01 8.466381068979724756e-01 7.428360609935565906e-01 1.148054116348170561e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.754081742957234624e-01 9.142661659965674037e-01 5.586802283175064110e-01 3.255490315676521362e-01 5.646816965784116071e-01 4.642172927681987860e-01 3.126570113396224260e-01 4.318338792414952998e-01
0.000000000000000000e+00 -1.000000000000000053e+300 5.353719006052645168e-01 2.412381977292691326e-01 1.102406440046677094e-01 7.146744317505073774e-01 9.100786840681504009e-01 6.459886641594814183e-01 6.095183279027948098e-01 9.415176001415647145e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.678711651394977800e-01 4.912483275875448863e-01 1.370846870657417282e-01 4.467256038973402843e-01 8.070433424664535949e-02 7.592091897352718499e-01 9.618692900149582448e-01 5.115532069528569981e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.620110874820991809e-01 9.233706988194300136e-01 3.259118432146346223e-02 7.855062213920260827e-01 2.627283195523735237e-01 7.661834193273922011e-01 7.762385933596605003e-01 9.648958655452074540e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.845603625805955383e-01 8.248869280695325656e-01 4.311774017038081386e-01 3.275486054940912606e-01 5.952192701915640649e-01 1.836494092845244452e-01 6.493486181967256243e-02 5.090020046364871487e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.030491177684285553e-01 5.604932628432496289e-01 5.548377058599058831e-01 9.795185602208555942e-01 7.661677517471210397e-01 5.220045530162310543e-01 4.777614523355405707e-01 7.323047910123359205e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.201090848650892440e-01 6.810232457990528232e-01 1.331224051903938665e-01 2.623278387406475787e-01 1.708799081880493231e-01 2.653350828805256523e-02 7.969087066906542782e-01 2.598260248123038796e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.247577526198067499e-01 4.829089956310751441e-01 7.402221511394989628e-01 3.587615028011144069e-01 2.908866231172461125e-01 1.134697487895859336e-01 1.960857417053432084e-01 2.555550076412109739e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.490332928109048716e-01 4.475848385791034723e-01 6.601670682865146134e-01 4.575338378378591697e-01 5.943833582411810479e-01 9.701369750380905987e-02 8.326362045823577640e-01 7.340993933959442108e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.368168503727722918e-01 4.025720451163862235e-01 9.840504294387515394e-01 6.441398182694936247e-01 5.608225451093846736e-01 9.481950310780576929e-01 5.497182631748558368e-01 7.357508744897309771e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.961878638376017170e-01 1.494249430930963962e-01 2.994261537897797698e-01 4.462169183812516593e-01 1.993048177171719004e-01 3.762268782326009253e-01 1.748755060806486128e-01 9.645447527751150885e-01
0.000000000000000000e+00 -1.000000000000000053e+300 8.721802280049799627e-01 2.987068167803791363e-01 1.848727524632004515e-01 1.289870219611081170e-01 7.118916374597639152e-01 9.778506107044115936e-02 6.361580351251823195e-01 4.364129015531945655e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.769362880618538414e-01 3.601847284691951367e-01 4.575091730659698319e-01 3.702393955793215063e-02 9.578956744145807889e-01 4.810837811918240448e-01 8.584988167327570752e-01 5.625621992569074248e-01
0.000000000000000000e+00 -1.000000000000000053e+300 5.838714691767058484e-01 9.757108716682250105e-01 8.571393416084445160e-01 9.635210643963029176e-01 3.671510972007399065e-01 1.754666248351051117e-01 5.129942955826783946e-01 7.518378728956839341e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.987106833852351651e-01 4.615304428523532287e-01 5.674498079850764931e-03 5.150338706996119287e-01 3.700825908699856281e-02 5.324121829128780625e-01 4.265811560405935454e-01 4.490940415234593308e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.578057886929172149e-01 8.630087395816513629e-01 7.734449195450899817e-01 9.932871460437051603e-01 2.647221916031288202e-01 3.005177111974161042e-01 4.965673385685810404e-01 2.310781052068028307e-01
